order,featured,title,slug,category,client,year,scope,credits,awards,awardTag,embedUrl,thumbnail,previewVideo,gallery
29,TRUE,Daphaco,daphaco,commercial,Daphaco,2024,"TVC, VFX, Compositing",Client - Daphaco | Studio - Zodiac II Media,Awards not publicly listed.,,,,,
30,TRUE,TopZone,topzone,commercial,TopZone,2024,"TVC, Cleanup, Compositing",Client - TopZone | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/ApivbTaBK_k,,,
31,TRUE,Không Ra Gì,khong-ra-gi-truc-nhan,music-video,Trúc Nhân,2024,"VFX, Compositing",Client - KIM Entertainment | Production House - Ganga Production | Artist - Truc Nhan | Studio - Zodiac II Media,#1 Trending YouTube,#1 Trending,https://www.youtube.com/embed/rRUzJJ9IV4s,,,
32,TRUE,THE REAL AURA,exsh,music-video,EXSH,2024,"CGI, FX, Compositing",Production House - Antiantiart | Artists - EXSH | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/ya31HMyeHX0?si,,,
33,TRUE,ALL EYES ON US,the-stars-atsh,music-video,ATSH,2024,"VFX, Compositing",Production House - Antiantiart | Artists - ATSH | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/lqp2_F53XPM,,,
34,TRUE,Thức Giấc,thuc-giac-dalab,music-video,DaLab,2024,"VFX, Environment, Compositing",Artist - DaLab | Studio - Zodiac II Media,#1 Trending YouTube,#1 Trending,https://www.youtube.com/embed/R3trO4a49go,,,
35,TRUE,Skyline,skyline-dalab,music-video,DaLab,2024,"CGI, Space Environment, Compositing",Artist - DaLab | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/JKS12fgCsv0,,,
36,TRUE,Giờ Thì Ai Cười,gio-thi-ai-cuoi-hieuthuhai,music-video,HIEUTHUHAI,2024,"VFX, Compositing",Artist - HIEUTHUHAI | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/bfKKVGYMKgs,,,
37,TRUE,Em Hát Ai Nghe,em-hat-ai-nghe-orange,music-video,Orange,2024,"VFX, Beauty Compositing",Artist - Orange | Studio - Zodiac II Media,#1 Trending YouTube,#1 Trending,https://www.youtube.com/embed/wssbBe_t-r4,,,
38,TRUE,Thiêu Thân,thieu-than-b-ray,music-video,B Ray,2024,"FX, Compositing",Artist - B Ray | Studio - Zodiac II Media,#3 Trending YouTube,#3 Trending,https://www.youtube.com/embed/cfbNtHNCMBo,,,
39,TRUE,Beautiful Monster,beautiful-monster-soobin-binz,music-video,SOOBIN x Binz,2024,"CGI, Compositing",Artists - SOOBIN x Binz | Studio - Zodiac II Media,#9 Trending YouTube,#9 Trending,https://www.youtube.com/embed/aEHSS6Q94S4,,,
40,TRUE,SUZIE,suzie-x-nhat-nguyen,music-video,SUZIE x Nhat Nguyen,2024,"CGI, Motion Graphics, Compositing",Artists - SUZIE x Nhat Nguyen | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/mn62fbWu5yE,,,
41,TRUE,Mời người kế tiếp,moi-nguoi-ke-tiep-karik,music-video,Karik,2024,"VFX, Compositing",Production House - HILLUS | Artist - Karik | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/y1JEtJqQXS4,,,
42,TRUE,Huyền Vi,huyen-vi-masew,music-video,Masew,2024,"VFX, Environment, Compositing",Production House - HILLUS | Artist - Masew | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/addfbs0kQDE,,,
43,TRUE,Văn Lang 30 Năm,van-lang-30,commercial,Van Lang Univercity,2025,"VFX, Environment, Compositing",Client - Van Lang University | Production House - Flex Films | Studio - Zodiac II Media,Awards not publicly listed.,,,,,
44,TRUE,Vạn Sự Như Ý,van-su-nhu-y,music-video,Kim Entertainment,2025,"VFX, Environment, Compositing",Client - KIM Entertainment | Artist - Truc Nhan | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/hjYOanJelUs?si,,,
45,TRUE,Một Niềm Tự Hào,mot-niem-tu-hao,commercial,Ha Linh ,2025,"VFX, Environment, Compositing",Client - ZAAHEE Production | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.tiktok.com/@halinhofficial/video/7544361272075193607,,,
46,TRUE,Dân Chơi Sao Phải Khóc,dan-choi-sao-phai-khoc,music-video,AndreRightHand,2023,"VFX, Environment, Compositing",Production House - Snake Fang | Artist - AndreRightHand | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/zDNOhR-Ms-I?si,,,
47,TRUE,Anh Là NGoại Lệ Của Em,anh-la-ngoai-le-cua-em,music-video,Phuong Ly ,2023,"VFX, Environment, Compositing",Producer - Ngo Mai Phuong | Artist: Phuong Ly | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/q2YUtZum9wc?si=-LHwTOrQ3ORGuMff,,,
48,TRUE,LoveLy,lovely,music-video,LYLY,2023,"VFX, Environment, Compositing",Producer - Ngo Mai Phuong | Artist: Ly Ly | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/QM7XI5hgZR8?si=Fe3QXhkzNZr2eSEd,,,
49,TRUE,Bartender,bartender,music-video,Duong Trieu Vu,2023,"VFX, Environment, Compositing",Artist - Duong Trieu Vu | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/eH-oxvUxZQU?si=L39do4T9OWA37IlF,,,
50,TRUE,KIXX 2024,kixx-2024,commercial,KIXX,2025,"CGI Production, Motion Design",Client - KIXX | Agency - Cheil Vietnam | Production House - Snake Fang | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/Umu6tmb9I0Q,,,
51,TRUE,Where Your Own Venture Awaits,where-your-own-venture-awaits,commercial,British University Vietnam,2025,"CGI Production, Motion Design",Client - BUV | Production - Thanh Trịnh | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/RTTMxozVxOY?si=NqKDee4p-yNX4sH_,,,
52,TRUE,Em và Trịnh,em-va-trinh,film,,,,,,,,,,
53,TRUE,Mask Girl,mask-girl,film,,,,,,,,,,
54,TRUE,,,,,,,,,,,,,
55,TRUE,,,,,,,,,,,,,
56,TRUE,,,,,,,,,,,,,
57,TRUE,,,,,,,,,,,,,
58,TRUE,,,,,,,,,,,,,
59,TRUE,,,,,,,,,,,,,
60,TRUE,,,,,,,,,,,,,
61,TRUE,,,,,,,,,,,,,
62,TRUE,,,,,,,,,,,,,
63,TRUE,,,,,,,,,,,,,
64,TRUE,,,,,,,,,,,,,
65,TRUE,,,,,,,,,,,,,
66,TRUE,,,,,,,,,,,,,
