order,featured,title,slug,category,cardSize,client,year,scope,credits,awards,awardTag,embedUrl,thumbnail,previewVideo,gallery
1,TRUE,Chiến Sĩ Quả Cảm,chien-si-qua-cam-2025,tvshow,small,Bộ Quốc phòng,2025,"VFX, Environment, Compositing",Client - Zeit Media | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/ULT3FbPW_MM?si,,,
2,TRUE,BE,be,commercial,small,BE,2025,"CGI, Compositing, Motion",Agency - The FRIDAY | Production House - FGS | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/hMBxytyaEOs,,,
3,TRUE,Dù Cho Tận Thế,du-cho-tan-the,music-video,small,ERIK,2025,"VFX, CGI, Compositing",Production House - Ganga Production | Singer - ERIK | Studio - Zodiac II Media,#1 Trending YouTube,#1 Trending,https://www.youtube.com/embed/js6JBdLzNn4,,,
4,TRUE,VIB Privilege,vib-privilege,commercial,large,VIB,2026,"CGI, Compositing",Client - VIB | Agency - TBWA | Production House - Flex Films | Studio - Zodiac II Media,Awards not publicly listed.,,https://player.vimeo.com/video/1183468069,,,
5,TRUE,VIB MAX Card,vi-maxcard,commercial,small,VIB,2026,"CGI, Compositing",Client - VIB | Agency - Peri Sunrise | Production House - One Entertainment | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/qAAk3GyU-2k?si,,,
6,FALSE,Samsung 2025,samsung-2025,billboard,small,Samsung,2025,"Compositing, Finishing",Client - Samsung | Agency - Cheil Vietnam | Studio - Zodiac II Media,Awards not publicly listed.,,,,,
7,TRUE,Cánh Chim Phượng Hoàng,canh-chim-phuong-hoang,music-video,small,Tung Duong,2025,"CGI, FX, Compositing",Artist - Tung Duong | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/of1eWaBwJLQ,,,
8,TRUE,MADE IN VIETNAM,mv-mivn-dtap,music-video,large,DTAP,2025,"CGI, Environment, Compositing",Production House - Alien Media | Artist - DTAP | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/HX3UcwUYMjM,,,
9,TRUE,Hoa Hồng Ai Vung Trồng,hoa-hong-ai-vung-trong,music-video,small,MINH HẰNG x TÓC TIÊN x DTAP,2025,"VFX, Environment, Compositing",Production House - Ganga Production | Artists - Minh Hang x DTAP | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/Q2j8hraa2kA?si,,,
10,TRUE,KIXX 2025,kixx-2025,commercial,small,KIXX,2025,"CGI Production, Motion Design",Client - KIXX | Agency - Cheil Vietnam | Production House - One Cut | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/Umu6tmb9I0Q,,,
11,TRUE,Over,over,music-video,small,Khoi Vu,2025,"VFX, Compositing",Production House - Um Production | Artist - Khoi Vu | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/RTBl0s8-y1o,,,
12,TRUE,Hoa Xuân Ca 2025,hoa-xuan-ca2025,tvshow,large,VTV,2025,"Cleanup, Beauty, Compositing",Client - VTV | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/kHU4mR2SFnI?si,,,
14,TRUE,Bê Trap,be-trap,music-video,small,Trang Phap,2025,"Compositing, Cleanup, Finishing",Production House - Ganga Production | Artist - Trang Phap | Studio - Zodiac II Media,Awards not publicly listed.,,https://www.youtube.com/embed/2GE373cUiPs,,,
